u,e,t,l,f,o
ON_FOOT,5189.0,light-theme,xLargeCards,small-font,Y
STILL,6390.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,11763.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,6274.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,9403.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,12858.0,light-theme,xLargeCards,small-font,Y
STILL,81.0,light-theme,largeCards,large-font,Y
STILL,85.0,light-theme,largeCards,large-font,Y
STILL,80.0,light-theme,xLargeCards,small-font,Y
STILL,11.0,light-theme,xLargeCards,small-font,N
STILL,7.0,dark-theme,largeCards,small-font,N
STILL,7.0,dark-theme,largeCards,small-font,N
STILL,8.0,dark-theme,largeCards,small-font,N
STILL,8.0,dark-theme,xLargeCards,large-font,N
STILL,8.0,dark-theme,xLargeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,light-theme,largeCards,small-font,N
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,xLargeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,small-font,N
STILL,6.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,xLargeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,0.0,light-theme,largeCards,large-font,Y
STILL,147.0,light-theme,xLargeCards,large-font,N
STILL,438.0,light-theme,largeCards,small-font,Y
STILL,389.0,light-theme,largeCards,small-font,Y
STILL,1.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,16.0,dark-theme,xLargeCards,large-font,Y
STILL,1.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,2.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,8.0,dark-theme,xLargeCards,large-font,Y
STILL,69.0,dark-theme,largeCards,large-font,N
ON_FOOT,79.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,16.0,light-theme,largeCards,small-font,N
STILL,0.0,light-theme,largeCards,large-font,Y
STILL,0.0,light-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,102.0,dark-theme,largeCards,small-font,Y
STILL,86.0,dark-theme,largeCards,small-font,Y
STILL,86.0,dark-theme,largeCards,large-font,N
STILL,75.0,light-theme,xLargeCards,large-font,Y
STILL,77.0,light-theme,xLargeCards,large-font,Y
STILL,59.0,light-theme,largeCards,large-font,Y
STILL,108.0,light-theme,largeCards,large-font,Y
STILL,50.0,dark-theme,xLargeCards,large-font,N
STILL,49.0,dark-theme,xLargeCards,large-font,N
STILL,68.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,58.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,95.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,72.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,61.0,dark-theme,xLargeCards,large-font,N
STILL,62.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,62.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,117.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,218.0,light-theme,xLargeCards,small-font,N
STILL,184.0,light-theme,xLargeCards,small-font,N
IN_VEHICLE,888.0,light-theme,largeCards,small-font,Y
STILL,620.0,light-theme,largeCards,small-font,Y
ON_FOOT,681.0,light-theme,largeCards,large-font,Y
STILL,257.0,light-theme,largeCards,large-font,Y
ON_FOOT,2659.0,light-theme,largeCards,large-font,Y
STILL,229.0,light-theme,largeCards,small-font,Y
ON_FOOT,348.0,light-theme,largeCards,small-font,N
STILL,790.0,light-theme,largeCards,small-font,N
ON_FOOT,2443.0,light-theme,largeCards,small-font,N
STILL,13.0,light-theme,xLargeCards,large-font,N
STILL,13.0,light-theme,xLargeCards,large-font,N
STILL,13.0,light-theme,largeCards,large-font,N
STILL,10.0,light-theme,largeCards,large-font,N
STILL,871.0,light-theme,largeCards,large-font,Y
STILL,923.0,light-theme,largeCards,large-font,Y
STILL,789.0,light-theme,xLargeCards,large-font,N
STILL,865.0,light-theme,xLargeCards,large-font,Y
IN_VEHICLE,13.0,light-theme,largeCards,large-font,Y
IN_VEHICLE,19.0,light-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,N
ON_FOOT,0.0,dark-theme,largeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,small-font,Y
STILL,13.0,dark-theme,largeCards,large-font,N
STILL,13.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
ON_FOOT,136.0,dark-theme,xLargeCards,small-font,Y
ON_FOOT,107.0,light-theme,largeCards,small-font,Y
ON_FOOT,93.0,light-theme,largeCards,small-font,N
STILL,0.0,light-theme,xLargeCards,small-font,N
STILL,0.0,light-theme,xLargeCards,small-font,N
STILL,0.0,light-theme,largeCards,small-font,Y
STILL,0.0,light-theme,largeCards,small-font,N
STILL,117.0,light-theme,xLargeCards,small-font,N
STILL,19.0,light-theme,xLargeCards,small-font,N
ON_FOOT,0.0,light-theme,largeCards,large-font,N
STILL,87.0,light-theme,xLargeCards,large-font,N
STILL,61.0,light-theme,xLargeCards,large-font,N
STILL,17.0,light-theme,largeCards,small-font,N
ON_FOOT,20.0,light-theme,largeCards,small-font,N
STILL,2.0,light-theme,largeCards,small-font,N
STILL,1.0,light-theme,largeCards,small-font,N
STILL,1.0,light-theme,largeCards,small-font,N
ON_FOOT,221.0,light-theme,largeCards,small-font,N
ON_FOOT,174.0,light-theme,largeCards,small-font,N
STILL,0.0,light-theme,xLargeCards,small-font,N
ON_FOOT,93.0,dark-theme,largeCards,large-font,N
ON_FOOT,26.0,light-theme,largeCards,small-font,N
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,64.0,dark-theme,xLargeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,large-font,Y
STILL,57.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,11.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,17.0,dark-theme,xLargeCards,small-font,N
STILL,17.0,dark-theme,xLargeCards,small-font,N
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,103.0,light-theme,largeCards,large-font,N
STILL,88.0,light-theme,largeCards,large-font,Y
STILL,93.0,light-theme,largeCards,small-font,N
STILL,137.0,light-theme,largeCards,large-font,N
STILL,33.0,light-theme,largeCards,large-font,N
STILL,38.0,light-theme,largeCards,large-font,N
STILL,35.0,light-theme,largeCards,large-font,N
ON_FOOT,270.0,dark-theme,largeCards,small-font,N
STILL,84.0,light-theme,largeCards,large-font,N
STILL,90.0,dark-theme,xLargeCards,large-font,N
STILL,91.0,light-theme,xLargeCards,large-font,N
STILL,73.0,light-theme,xLargeCards,small-font,N
STILL,71.0,dark-theme,xLargeCards,small-font,N
STILL,71.0,dark-theme,xLargeCards,large-font,N
STILL,73.0,dark-theme,xLargeCards,large-font,Y
STILL,142.0,light-theme,xLargeCards,large-font,N
STILL,141.0,light-theme,xLargeCards,large-font,N
STILL,27.0,dark-theme,largeCards,large-font,N
STILL,25.0,light-theme,largeCards,small-font,N
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,167.0,dark-theme,xLargeCards,large-font,N
STILL,167.0,light-theme,xLargeCards,large-font,N
STILL,167.0,dark-theme,xLargeCards,large-font,N
STILL,167.0,light-theme,xLargeCards,large-font,N
STILL,167.0,light-theme,xLargeCards,small-font,N
STILL,148.0,dark-theme,xLargeCards,small-font,N
STILL,4.0,light-theme,largeCards,large-font,Y
STILL,16.0,light-theme,largeCards,large-font,Y
STILL,4.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,384.0,dark-theme,largeCards,large-font,N
ON_FOOT,192.0,dark-theme,xLargeCards,small-font,N
ON_FOOT,384.0,dark-theme,xLargeCards,large-font,N
STILL,470.0,dark-theme,largeCards,large-font,Y
STILL,192.0,dark-theme,xLargeCards,small-font,N
STILL,437.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,206.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,199.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,809.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,159.0,dark-theme,largeCards,large-font,N
IN_VEHICLE,855.0,dark-theme,largeCards,small-font,N
IN_VEHICLE,650.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,782.0,dark-theme,largeCards,small-font,N
IN_VEHICLE,616.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,132.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,119.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,146.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,146.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,683.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,212.0,light-theme,xLargeCards,large-font,N
IN_VEHICLE,603.0,dark-theme,xLargeCards,large-font,N
IN_VEHICLE,126.0,dark-theme,largeCards,small-font,N
STILL,11.0,light-theme,largeCards,large-font,Y
STILL,11.0,light-theme,largeCards,large-font,Y
STILL,3.0,light-theme,xLargeCards,large-font,N
STILL,5.0,light-theme,xLargeCards,large-font,N
